frame,time_s,oid,class,point_type,x,y,x_norm,y_norm,bbox_w,bbox_h,bbox_w_norm,bbox_h_norm,speed_px_per_s
3,0.125,1,player,foot,1353.27001953125,391.5099792480469,0.35241406758626304,0.18125462002224393,54.0,153.0,0.0140625,0.07083333333333333,
3,0.125,2,player,foot,2420.08984375,453.3800048828125,0.6302317301432292,0.2098981504087095,45.0,145.0,0.01171875,0.06712962962962964,
3,0.125,3,ball,center,1227.0,480.0,0.31953125,0.2222222222222222,30.0,30.0,0.0078125,0.013888888888888888,129.24395537122808
4,0.16666666666666666,0,player,foot,1126.859619140625,569.489990234375,0.2934530258178711,0.2636527732566551,104.0,259.0,0.027083333333333334,0.11990740740740741,
4,0.16666666666666666,1,player,foot,1356.7890625,391.656982421875,0.35333048502604164,0.18132267704716434,59.0,154.0,0.015364583333333333,0.0712962962962963,
4,0.16666666666666666,2,player,foot,2423.81298828125,452.96600341796875,0.6312012990315755,0.20970648306387443,41.0,146.0,0.010677083333333334,0.06759259259259259,
4,0.16666666666666666,3,ball,center,1222.0,481.5,0.3182291666666667,0.22291666666666668,32.0,33.0,0.008333333333333333,0.015277777777777777,125.2836781069266
5,0.20833333333333334,0,player,foot,1119.1016845703125,568.7429809570312,0.2914327303568522,0.2633069356282552,104.0,258.0,0.027083333333333334,0.11944444444444445,
5,0.20833333333333334,1,player,foot,1359.702392578125,391.7598876953125,0.35408916473388674,0.18137031837745948,65.0,154.0,0.016927083333333332,0.0712962962962963,
5,0.20833333333333334,2,player,foot,2427.619140625,452.9761962890625,0.6321924845377604,0.20971120198567708,43.0,147.0,0.011197916666666667,0.06805555555555555,
5,0.20833333333333334,3,ball,center,1218.0,483.5,0.3171875,0.2238425925925926,28.0,33.0,0.007291666666666667,0.015277777777777777,107.33126291998991
6,0.25,0,player,foot,1113.37109375,567.6201171875,0.2899403889973958,0.26278709129050926,107.0,257.0,0.027864583333333335,0.11898148148148148,
6,0.25,1,player,foot,1362.041748046875,391.8319091796875,0.35469837188720704,0.18140366165726274,67.0,154.0,0.017447916666666667,0.0712962962962963,
6,0.25,2,player,foot,2430.433349609375,452.98333740234375,0.6329253514607748,0.20971450805664063,47.0,147.0,0.012239583333333333,0.06805555555555555,
6,0.25,3,ball,center,1214.0,486.0,0.31614583333333335,0.225,30.0,32.0,0.0078125,0.014814814814814815,113.20777358467925
7,0.2916666666666667,0,player,foot,1109.6597900390625,566.8341064453125,0.28897390365600584,0.26242319742838544,110.0,261.0,0.028645833333333332,0.12083333333333333,
7,0.2916666666666667,1,player,foot,1363.979248046875,391.88232421875,0.3552029291788737,0.181427001953125,74.0,154.0,0.019270833333333334,0.0712962962962963,
7,0.2916666666666667,2,player,foot,2432.4033203125,452.6883239746094,0.6334383646647136,0.20957792776602285,48.0,147.0,0.0125,0.06805555555555555,
7,0.2916666666666667,3,ball,center,1209.0,492.5,0.31484375,0.22800925925925927,30.0,33.0,0.0078125,0.015277777777777777,196.8146336022807
8,0.3333333333333333,0,player,foot,1106.7618408203125,565.98388671875,0.2882192293802897,0.26202957718460645,104.0,265.0,0.027083333333333334,0.12268518518518519,
8,0.3333333333333333,1,player,foot,1365.7855224609375,391.9176330566406,0.35567331314086914,0.18144334863733363,73.0,155.0,0.019010416666666665,0.07175925925925926,
8,0.3333333333333333,2,player,foot,2433.482421875,452.4818420410156,0.6337193806966146,0.20948233427824797,50.0,146.0,0.013020833333333334,0.06759259259259259,
8,0.3333333333333333,3,ball,center,1205.5,498.0,0.31393229166666664,0.23055555555555557,29.0,28.0,0.007552083333333333,0.012962962962962963,156.4608577248636
9,0.375,0,player,foot,1104.7332763671875,565.3887329101562,0.2876909573872884,0.2617540430139612,111.0,273.0,0.02890625,0.12638888888888888,
9,0.375,1,player,foot,1367.0499267578125,391.9423522949219,0.35600258509318033,0.1814547927291305,75.0,155.0,0.01953125,0.07175925925925926,
9,0.375,2,player,foot,2434.087646484375,452.3372802734375,0.6338769912719726,0.20941540753399884,55.0,146.0,0.014322916666666666,0.06759259259259259,
9,0.375,3,ball,center,1200.0,500.5,0.3125,0.23171296296296295,30.0,29.0,0.0078125,0.013425925925925926,144.99655168313487
10,0.4166666666666667,0,player,foot,1102.2633056640625,564.3720703125,0.28704773585001625,0.2612833658854167,113.0,278.0,0.029427083333333333,0.1287037037037037,
10,0.4166666666666667,1,player,foot,1368.2349853515625,391.95965576171875,0.3563111941019694,0.18146280359338832,74.0,155.0,0.019270833333333334,0.07175925925925926,
